Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo
Brescia,198222,0.15686923132319786,6274.769252927914,1129458.4655270246,13553501.586324295,37132.881058422725,66.85450200415204
Desenzano del Garda,29343,0.02322150848400578,928.8603393602313,167194.86108484163,2006338.3330180994,5496.817350734519,9.89653848870374
Montichiari,26311,0.02082203965929442,832.8815863717768,149918.68554691982,1799024.2265630378,4928.83349743298,8.873933277997619
Lumezzane,21609,0.017100963665299423,684.0385466119769,123126.93839015585,1477523.2606818702,4048.0089333749866,7.28808575136827
Palazzolo sull'Oglio,20264,0.01603655549602608,641.4622198410432,115463.19957138777,1385558.3948566532,3796.050396867543,6.8344564609989655
Rovato,19472,0.015409781317539468,616.3912527015788,110950.42548628418,1331405.10583541,3647.685221466877,6.567337949495255
Chiari,19321,0.015290282705226995,611.6113082090798,110090.03547763436,1321080.4257316124,3619.398426661952,6.516410051468664
Ghedi,18638,0.014749769114436144,589.9907645774457,106198.33762394023,1274380.0514872828,3491.4521958555692,6.286054062381499
Lonato del Garda,17012,0.013462982732846211,538.5193093138485,96933.47567649272,1163201.7081179125,3186.853994843596,5.737651663764034
Gussago,16651,0.013177293997450169,527.0917598980068,94876.51678164123,1138518.2013796947,3119.227948985465,5.615896887687217
Concesio,15776,0.012484835151268624,499.39340605074494,89890.81308913408,1078689.7570696091,2955.314402930436,5.320784895811275
Darfo Boario Terme,15733,0.012450805745113418,498.0322298045367,89645.80136481661,1075749.6163777993,2947.259222952875,5.306282249353372
Ospitaletto,14818,0.011726691637392145,469.0676654956858,84432.17978922345,1013186.1574706814,2775.8524862210447,4.9976794235631
Leno,14455,0.011439420138919115,457.57680555676455,82363.82500021762,988365.9000026115,2707.8517808290726,4.875250105790566
Travagliato,13851,0.010961425689669227,438.4570275867691,78922.26496561844,947067.1795874212,2594.704601609373,4.671538513684202
Rezzato,13442,0.010637750640425511,425.51002561702046,76591.80461106368,919101.6553327641,2518.0867269390797,4.53359473691019
Manerbio,13418,0.010618757483501674,424.75029934006693,76455.05388121205,917460.6465745446,2513.590812532999,4.525500236561593
Sarezzo,13227,0.010467603609649474,418.70414438597896,75366.74598947621,904400.9518737146,2477.810827051273,4.461081504620673
Carpenedolo,13055,0.010331485985028643,413.25943940114576,74386.69909220624,892640.3891064748,2445.5901071410267,4.403070918789059
Calcinato,12961,0.010257096120410284,410.2838448164114,73851.09206695405,886213.1048034485,2427.981109050544,4.371367459090386
Mazzano,12718,0.010064790406556438,402.59161626225756,72466.49092720637,869597.8911264765,2382.4599756889766,4.289410643060839
Bagnolo Mella,12549,0.009931046926551088,397.24187706204356,71503.53787116783,858042.4544540141,2350.8012450794904,4.2324118697727995
Orzinuovi,12504,0.009895434757318895,395.8173902927558,71247.13025269605,854965.5630323526,2342.3714055680894,4.21723468161918
Gavardo,12349,0.009772770618852449,390.9108247540979,70363.94845573763,844367.3814688516,2313.3352916954836,4.164957700201155
Bedizzole,12306,0.009738741212697242,389.5496485078897,70118.93673142014,841427.2407770416,2305.2801117179224,4.150455053743252
Castenedolo,11654,0.00922276044959968,368.9104179839872,66403.8752371177,796846.5028454124,2183.1411036860613,3.9305544609396934
Gardone Val Trompia,11441,0.009054196181900629,362.16784727602516,65190.21250968453,782282.5501162143,2143.239863332094,3.8587157703458916
Castel Mella,10964,0.008676707188039376,347.06828752157503,62472.2917538835,749667.501046602,2053.8835645112385,3.697837575917521
Botticino,10765,0.00851922226187923,340.7688904751692,61338.40028553046,736060.8034263655,2016.604940894152,3.6307206771937355
Cazzago San Martino,10758,0.008513682591109777,340.5473036443911,61298.514655990395,735582.1758718847,2015.2936325257115,3.628359781258727
Villa Carcina,10686,0.008456703120338268,338.26812481353073,60888.26246643553,730659.1495972264,2001.8058893074697,3.6040762802129365
Nave,10618,0.008402889175720732,336.1155670288293,60500.80206518927,726009.6247822712,1989.0674651569075,3.5811418625585776
Salò,10493,0.008303966483409081,332.15865933636326,59788.558680545386,717462.7041665446,1965.651244291903,3.5389830065762995
Rodengo Saiano,9930,0.007858418677237414,314.33674708949655,56580.61447610938,678967.3737133126,1860.1845855159247,3.349099519232122
Capriolo,9462,0.007488052117222599,299.522084688904,53913.975244002715,646967.7029280326,1772.5142545973497,3.1912567624344756
Roncadelle,9309,0.0073669707418331405,294.6788296733256,53042.18934119861,636506.2720943834,1743.8528002585845,3.139654322712168
Borgosatollo,9145,0.007237184169520257,289.4873667808103,52107.72602054585,625292.7122465502,1713.1307184836994,3.0843419036634203
Iseo,9037,0.007151714963362992,286.06859853451965,51492.34773621354,617908.1728345625,1692.8991036563357,3.047916652094732
Coccaglio,8815,0.006976028261817503,279.0411304727001,50227.40348508602,602728.8418210322,1651.3118954000884,2.973042523870207
Erbusco,8815,0.006976028261817503,279.0411304727001,50227.40348508602,602728.8418210322,1651.3118954000884,2.973042523870207
Flero,8772,0.006941998855662295,277.6799542264918,49982.39176076853,599788.7011292223,1643.256715422527,2.9585398774123037
Calvisano,8416,0.006660267027958719,266.41068111834875,47953.92260130277,575447.0712156333,1576.5673183989954,2.8384714555747776
Castegnato,8382,0.0066333600556499495,265.33440222599796,47760.19240067963,573122.3088081556,1570.198106323714,2.8270042467475975
Vobarno,8348,0.006606453083341181,264.25812333364723,47566.4622000565,570797.546400678,1563.8288942484328,2.815537037920418
Sirmione,8329,0.006591416834109811,263.6566733643924,47458.20120559064,569498.4144670877,1560.2696286769526,2.809128891811113
Verolanuova,8096,0.006407024935640896,256.28099742563586,46130.57953661445,553566.9544393735,1516.6217929845848,2.730544784260147
Pisogne,7899,0.006251122772557737,250.04491090230948,45008.08396241571,540097.0075489886,1479.7178289013386,2.6641024272320784
Cologne,7640,0.006046154954088,241.84619816352,43532.3156694336,522387.7880332032,1431.19941926905,2.576749277636799
Castrezzato,7631,0.006039032520241561,241.56130080966244,43481.03414573924,521772.4097488709,1429.5134513667695,2.5737138400060746
Toscolano-Maderno,7620,0.006030327323318136,241.21309293272546,43418.35672789058,521020.280734687,1427.4528239306494,2.570003860679635
Bovezzo,7345,0.005812697400232508,232.5078960093003,41851.421281674055,502217.0553800886,1375.93713802764,2.4772543775186238
Corte Franca,7209,0.005705069510997434,228.20278043989734,41076.50047918152,492918.00575017824,1350.4602897265158,2.4313855422099064
Adro,7187,0.005687659117150583,227.50636468602332,40951.1456434842,491413.74772181036,1346.339034854275,2.4239655835570253
Provaglio d'Iseo,7175,0.005678162538688665,227.1265015475466,40882.77027855839,490593.24334270065,1344.0910776512346,2.4199183333827268
Pontevico,7036,0.005568160504838111,222.72642019352446,40090.7556348344,481089.0676180128,1318.05224004935,2.3730376855304343
Pontoglio,6984,0.005527008664836465,221.08034659345861,39794.46238682255,477533.5486418706,1308.3110921695086,2.355499601441807
Passirano,6924,0.005479525772526873,219.18103090107493,39452.58556219349,473431.0267463219,1297.0713061543065,2.3352633505703135
Castelcovati,6909,0.005467655049449476,218.70620197797902,39367.116356036226,472405.39627243474,1294.2613596505062,2.3302042878524407
Prevalle,6835,0.005409092815600979,216.36371262403915,38945.468272327045,467345.6192679246,1280.3989568984234,2.305246245110932
Torbole Casaglia,6472,0.00512182131712795,204.872852685118,36877.11348332124,442525.3617998549,1212.3982515064517,2.1828169273383984
Quinzano d'Oglio,6242,0.004939803563274515,197.5921425309806,35566.585655576506,426799.02786691807,1169.312405114844,2.1052446323310074
Rudiano,5947,0.004706346009419023,188.25384037676093,33885.69126781697,406628.29521380365,1114.0501238734346,2.005749732212833
Villanuova sul Clisi,5847,0.004627207855569704,185.08831422278817,33315.89656010187,399790.75872122246,1095.3171471814314,1.9720226474270113
Dello,5647,0.004468931547871065,178.75726191484262,32176.30714467167,386115.68573606,1057.8511937974247,1.9045684778553669
Trenzano,5507,0.004358138132482018,174.3255252992807,31378.594553870527,376543.1346464463,1031.62502642862,1.857350559155216
Borgo San Giacomo,5447,0.004310655240172426,172.42620960689706,31036.71772924147,372440.61275089765,1020.3852404134183,1.8371143082837231
Manerba del Garda,5413,0.004283748267863658,171.3499307145463,30842.987528618334,370115.85034342,1014.016028338137,1.8256470994565432
Poncarale,5210,0.004123097815549539,164.92391262198157,29686.304271956684,356235.6512634802,975.9880856533704,1.7571811173413248
Montirone,5089,0.004027340649391863,161.0936259756745,28996.852675621412,347962.23210745695,953.3211838560464,1.7163713447504803
Esine,5079,0.004019426834006931,160.77707336027723,28939.8732048499,347278.47845819884,951.4478861868462,1.7129986362718983
Gottolengo,5000,0.003956907692465968,158.27630769863873,28489.73538575497,341876.82462905964,936.6488346001634,1.6863542392910984
Paratico,4985,0.003945036969388571,157.80147877554285,28404.26617959771,340851.19415517256,933.8388880963632,1.6812951765732258
Roccafranca,4889,0.0038690643416932242,154.76257366772896,27857.263260191212,334287.1591222945,915.8552304720398,1.648917175178836
Cellatica,4883,0.003864316052462265,154.5726420984906,27823.07557772831,333876.9069327397,914.7312518705197,1.646893550091687
Padenghe sul Garda,4862,0.0038476970401539077,153.9078816061563,27703.418689108137,332441.02426929766,910.797326765199,1.6398108622866645
Piancogno,4806,0.003803379673998289,152.13518695993156,27384.33365278768,328612.0038334522,900.3068598176773,1.6209236948066041
Pian Camuno,4794,0.0037938830955363705,151.75532382145482,27315.958287861868,327791.4994543424,898.0589026146367,1.6168764446323054
Nuvolera,4744,0.003754314018611711,150.17256074446846,27031.060934004323,324372.7312080519,888.6924142686354,1.600012902239395
Capriano del Colle,4737,0.0037487743478422588,149.95097391369035,26991.17530446426,323894.1036535711,887.3811059001948,1.5976520063043866
San Zeno Naviglio,4697,0.0037171190863025307,148.68476345210124,26763.25742137822,321159.08905653865,879.8879152233935,1.584161172390058
Breno,4666,0.003692586258609242,147.70345034436968,26586.621061986545,319039.45274383854,874.0806924488727,1.5737057761064535
Monticelli Brusati,4621,0.003656974089377048,146.27896357508192,26330.213443514745,315962.56132217695,865.6508529374711,1.5585285879528334
Gambara,4562,0.00361028257860595,144.411303144238,25994.034565962836,311928.41479155404,854.5983966891891,1.5386296079291983
Collebeato,4476,0.003542223766295535,141.6889506518214,25504.01111732785,306048.1334079342,838.4880367340663,1.5096243150133914
San Paolo,4451,0.0035224392278332055,140.89756911332822,25361.56244039908,304338.74928478897,833.8047925610657,1.5011925438169362
Edolo,4413,0.003492366729370464,139.69466917481856,25145.04045146734,301740.48541760806,826.6862614181042,1.4883762515983234
Roè Volciano,4375,0.0034622942309077225,138.4917692363089,24928.5184625356,299142.2215504272,819.567730275143,1.4755599593797113
Marcheno,4182,0.0033095575939785364,132.38230375914145,23828.81467664546,285945.7761197455,783.4130852595767,1.410466685743075
Vestone,4166,0.0032968954893626452,131.8758195745058,23737.647523411048,284851.77028093254,780.4158089888563,1.4050703521773436
Comezzano-Cizzago,4123,0.0032628660832074376,130.5146433282975,23492.63579909355,281911.6295891226,772.3606290112948,1.3905677057194399
Offlaga,4113,0.0032549522678225057,130.19809071290024,23435.656328322042,281227.8759398645,770.4873313420945,1.387194997240858
Isorella,4080,0.0032288366770522304,129.1534670820892,23247.624074776057,278971.48889731267,764.3054490337333,1.3760650592615364
Sabbio Chiese,4025,0.0031853106924351047,127.41242769740418,22934.236985532752,275210.843826393,754.0023118531316,1.3575151626293342
Nuvolento,3909,0.003093510433969894,123.74041735879577,22273.275124583237,267279.30149499886,732.2720588904078,1.318391744277781
Verolavecchia,3833,0.0030333654370444116,121.33461748177646,21840.23114671976,262082.77376063715,718.0349966044854,1.2927591598405563
Bienno,3790,0.0029993360308892044,119.97344123556817,21595.21942240227,259142.63306882727,709.979816626924,1.278256513382653
Bagolino,3786,0.0029961705047352313,119.84682018940926,21572.427634093667,258869.13160912402,709.2304975592439,1.27690742999122
Lograto,3782,0.0029930049785812586,119.72019914325034,21549.635845785062,258595.63014942076,708.4811784915637,1.275558346599787
Urago d'Oglio,3774,0.0029866739262733133,119.46695705093254,21504.052269167856,258048.62723001427,706.9825403562035,1.2728601798169215
Pompiano,3730,0.0029518531385796126,118.07412554318451,21253.34259777321,255040.11117327854,698.740030611722,1.2580202625111596
Calvagese della Riviera,3689,0.0029194064955013915,116.77625982005566,21019.726767610016,252236.7212113202,691.0595101680005,1.2441921577489725
Paderno Franciacorta,3658,0.0028948736678081027,115.7949467123241,20843.09040821834,250117.0848986201,685.2522873934797,1.233736761465368
