Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico
Brescia,200195,0.15686976663276356,9412.185997965813,1694193.4796338463,20330321.755606156,55699.51165919495,100.28209521343591
Desenzano del Garda,29635,0.023221536672554,1393.2922003532399,250792.5960635832,3009511.1527629984,8245.236034967118,14.844825753141551
Montichiari,26573,0.02082219989876084,1249.3319939256503,224879.75890661706,2698557.1068794047,7393.307142135355,13.311002353238754
Lumezzane,21824,0.017100955503351393,1026.0573302010835,184690.31943619502,2216283.83323434,6072.01050201189,10.932123409365992
Palazzolo sull'Oglio,20465,0.016036063708581665,962.1638225149,173189.488052682,2078273.8566321838,5693.900977074476,10.251370306665832
Rovato,19666,0.015409979423062155,924.5987653837293,166427.77776907128,1997133.3332288554,5471.5981732297405,9.851133567109223
Chiari,19513,0.015290090942856292,917.4054565713775,165132.98218284795,1981595.7861941755,5429.02955121692,9.774492489321787
Ghedi,18823,0.014749417404672987,884.9650442803792,159293.70797046824,1911524.495645619,5237.053412727723,9.428856256162762
Lonato del Garda,17181,0.013462771100764308,807.7662660458585,145397.92788825452,1744775.1346590542,4780.205848380971,8.606342205659693
Gussago,16817,0.013177546219751667,790.6527731851,142317.499173318,1707809.990079816,4678.931479670729,8.424006569616383
Concesio,15933,0.012484857223006678,749.0914333804006,134836.4580084721,1618037.4961016653,4432.979441374426,7.981191453511198
Darfo Boario Terme,15890,0.012451163074974965,747.0697844984979,134472.56120972964,1613670.7345167557,4421.01571100481,7.959651804198392
Ospitaletto,14965,0.011726347099874156,703.5808259924494,126644.54867864089,1519734.5841436908,4163.656394914221,7.496298882934481
Leno,14599,0.01143955504918562,686.3733029511371,123547.19453120469,1482566.3343744562,4061.825573628647,7.312961402737085
Travagliato,13989,0.010961568298038061,657.6940978822837,118384.93761881106,1420619.2514257329,3892.1075381526925,7.007398935741428
