Comune,Pop_tot,Quota Popolazione,EV Stimati (Attuali),Domanda Mensile (kWh) - Attuali,Domanda Annua (kWh) - Attuali,Domanda Giornaliera (kWh) - Attuali,Colonnine Necessarie - Attuali
Brescia,197236,0.156869419704993,1568.69419704993,282364.9554689874,3388379.465627849,9283.231412679039,16.713645572168268
Desenzano del Garda,29197,0.023221503412798272,232.21503412798273,41798.70614303689,501584.4737164427,1374.2040375792951,2.47413408186435
Montichiari,26180,0.020821966618044963,208.21966618044962,37479.539912480934,449754.4789497712,1232.2040519171815,2.218475537322625
Lumezzane,21501,0.017100576938677798,171.00576938677798,30781.038489620038,369372.46187544044,1011.9793476039464,1.821980234070808
Palazzolo sull'Oglio,20163,0.01603641378608253,160.36413786082528,28865.54481494855,346386.5377793826,949.0042130941989,1.7085990167699037
Rovato,19375,0.015409686906975598,154.09686906975597,27737.436432556075,332849.2371906729,911.9157183306106,1.6418244284043486
Chiari,19225,0.015290386105115142,152.9038610511514,27522.694989207255,330272.33987048705,904.8557256725672,1.6291135296037988
Ghedi,18545,0.01474955580334774,147.4955580334774,26549.200446025934,318590.4053523112,872.8504256227704,1.57149078837464
Lonato del Garda,16927,0.013462697820612952,134.6269782061295,24232.85607710331,290794.27292523975,796.6966381513417,1.434382559979376
Gussago,16568,0.013177171234826927,131.77171234826926,23718.908222688468,284626.8986722616,779.7997223897579,1.4039611421833937
Concesio,15698,0.01248522658403628,124.8522658403628,22473.407851265303,269680.8942151836,738.8517649731058,1.3302379291402044
Darfo Boario Terme,15655,0.012451027020836282,124.51027020836283,22411.848637505307,268942.1836500637,736.8279004111334,1.3265941381507138
Ospitaletto,14744,0.011726473484203779,117.26473484203778,21107.6522715668,253291.8272588016,693.9502116679496,1.249396612768708
Leno,14383,0.011439356221059615,114.39356221059614,20590.841197907306,247090.09437488767,676.9591626709251,1.2188057163220516
Travagliato,13782,0.01096135767493872,109.61357674938719,19730.443814889695,236765.32577867634,648.6721254210311,1.1678773817945154
Rezzato,13375,0.010637654832557348,106.37654832557348,19147.778698603226,229773.3443832387,629.5160120088732,1.133388476382357
Manerbio,13351,0.010618566704259674,106.18566704259675,19113.420067667415,229361.04081200899,628.3864131835862,1.1313547325742688
Sarezzo,13161,0.010467452355236431,104.6745235523643,18841.414239425576,226096.9708731069,619.4437558167313,1.1152542607602391
Carpenedolo,12990,0.01033144944111551,103.3144944111551,18596.60899400792,223159.30792809502,611.3953641865617,1.1007638361276124
Calcinato,12897,0.010257482943962027,102.57482943962026,18463.469299131648,221561.63158957977,607.0181687385747,1.0928830788712713
Mazzano,12655,0.010065010983627158,100.65010983627158,18117.019770528885,217404.2372463466,595.6280472502647,1.0723761621397179
Bagnolo Mella,12487,0.009931394085543447,99.31394085543447,17876.509353978203,214518.11224773843,587.7208554732559,1.058139955483102
Orzinuovi,12442,0.00989560384498531,98.9560384498531,17812.086920973557,213745.0430516827,585.602857675843,1.054326685842937
Gavardo,12288,0.009773121688408576,97.73121688408575,17591.619039135436,211099.42846962524,578.3545985469185,1.0412768297410395
Bedizzole,12245,0.009738922125208578,97.38922125208579,17530.059825375443,210360.71790450532,576.330733984946,1.0376330387515487
Castenedolo,11596,0.009222747322492337,92.22747322492337,16600.945180486207,199211.3421658345,545.784499084478,0.9826372166078363
Gardone Val Trompia,11384,0.00905413552252956,90.54135522529559,16297.443940553207,195569.3272866385,535.8063761277767,0.9646724796363927
Castel Mella,10909,0.008676349649971448,86.76349649971448,15617.429369948606,187409.15243938327,513.4497327106391,0.9244213001013182
Botticino,10711,0.008518872591515646,85.18872591515645,15333.970664728162,184007.64797673794,504.1305424020217,0.9076429136845925
Cazzago San Martino,10704,0.008513305220762157,85.13305220762157,15323.949397371884,183887.3927684626,503.8010760779797,0.9070497384072335
Villa Carcina,10633,0.008456836174548208,84.56836174548208,15222.305114186775,182667.6613702413,500.4593462198391,0.9010332463083065
Nave,10565,0.008402753144371469,84.02753144371468,15124.955659868643,181499.4679184237,497.25881621485945,0.8952709721853906
Salò,10441,0.008304131148166824,83.04131148166823,14947.436066700282,179369.23280040338,491.4225556175435,0.8847632958436027
Rodengo Saiano,9881,0.007858741487887786,78.58741487887787,14145.734678198016,169748.8161383762,465.0652496941813,0.8373092736548835
Capriolo,9415,0.007488113663441303,74.88113663441302,13478.604594194345,161743.25513033214,443.1322058365264,0.7978207480478422
Roncadelle,9263,0.007367222184222708,73.67222184222707,13260.999931600873,159131.99917921046,435.97807994304236,0.7849403705966184
Borgosatollo,9100,0.007237581979534345,72.37581979534345,13027.64756316182,156331.77075794182,428.30622125463515,0.7711278605666876
Iseo,8992,0.007151685402194817,71.51685402194818,12873.033723950672,154476.40468740807,423.22302654084405,0.761976013430292
Coccaglio,8771,0.006975915554120411,69.75915554120411,12556.64799741674,150679.77596900088,412.82130402466,0.7432486225308151
Erbusco,8771,0.006975915554120411,69.75915554120411,12556.64799741674,150679.77596900088,412.82130402466,0.7432486225308151
Flero,8728,0.006941715990920414,69.41715990920413,12495.088783656744,149941.06540388093,410.79743946268746,0.7396048315413241
Calvisano,8374,0.006660166098529737,66.60166098529737,11988.298977353526,143859.58772824233,394.13585678970503,0.7096071103720267
Castegnato,8340,0.006633124583441367,66.33124583441366,11939.62425019446,143275.49100233353,392.53559178721514,0.7067259733105687
Vobarno,8306,0.0066060830683529964,66.06083068352997,11890.949523035395,142691.39427642475,390.93532678472536,0.7038448362491109
Sirmione,8288,0.006591766972129742,65.91766972129741,11865.180549833534,142382.16659800243,390.08812766576006,0.7023195283930447
Verolanuova,8056,0.00640724839858557,64.0724839858557,11533.047117454025,138396.5654094483,379.16867235465287,0.682660004914861
Pisogne,7860,0.006251362017487907,62.513620174879065,11252.451631478232,135029.4195777388,369.9436152814761,0.6660510971488093
Cologne,7602,0.006046164638287922,60.46164638287922,10883.09634891826,130597.1561870191,357.80042790964137,0.6441883512118636
Castrezzato,7593,0.0060390065901762945,60.390065901762945,10870.21186231733,130442.54234780796,357.3768283501588,0.6434256972838307
Toscolano-Maderno,7582,0.006030257864706528,60.30257864706528,10854.464156471751,130253.56987766101,356.8590955552356,0.6424935647051238
Bovezzo,7308,0.005812335066641428,58.123350666414275,10462.203119954569,125546.43743945484,343.9628422998763,0.6192749895627861
Corte Franca,7173,0.0057049643449670175,57.04964344967018,10268.935820940633,123227.22985128759,337.6088489076372,0.6078351806422913
Adro,7151,0.0056874668940274835,56.87466894027484,10237.440409249471,122849.28491099365,336.57338331779084,0.6059709154848774
Provaglio d'Iseo,7139,0.005677922829878647,56.77922829878647,10220.261093781564,122643.13312537878,336.00858390514736,0.6049540435808334
