Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico,Comune_nome_match,n_esagoni,EV Stimati (2030 - Ottimistico) per esagono,Domanda Giornaliera (kWh) - Ottimistico per esagono,Domanda Mensile (kWh) - Ottimistico per esagono,Domanda Annua (kWh) - Ottimistico per esagono,Colonnine Necessarie - Ottimistico per esagono
brescia,200195,0.1568697666327635,9412.185997965811,1694193.4796338463,20330321.75560616,55699.51165919495,100.28209521343592,brescia,130,72.40143075358316,428.4577819938073,13032.257535644972,156387.0904277397,0.7714007324110456
desenzano del garda,29635,0.023221536672554,1393.29220035324,250792.5960635832,3009511.1527629984,8245.236034967118,14.844825753141553,desenzano del garda,75,18.5772293380432,109.93648046622825,3343.901280847776,40126.81537017331,0.19793101004188737
montichiari,26573,0.0208221998987608,1249.3319939256503,224879.75890661703,2698557.1068794047,7393.307142135355,13.311002353238754,montichiari,107,11.675999943230376,69.09632843117154,2101.6799897814676,25220.159877377613,0.12440189115176406
lumezzane,21824,0.0171009555033513,1026.0573302010837,184690.31943619504,2216283.83323434,6072.01050201189,10.932123409365992,lumezzane,52,19.731871734636226,116.76943273099788,3551.73691223452,42620.84294681423,0.21023314248780756
palazzolo sull'oglio,20465,0.0160360637085816,962.1638225149,173189.488052682,2078273.856632184,5693.900977074476,10.251370306665832,palazzolo sull'oglio,28,34.36299366124643,203.35360632408842,6185.338859024357,74224.06630829228,0.36612036809520826
rovato,19666,0.0154099794230621,924.5987653837292,166427.77776907128,1997133.3332288556,5471.5981732297405,9.851133567109224,rovato,43,21.502296869389053,127.24646914487768,3870.4134364900297,46444.961237880365,0.22909612946765637
chiari,19513,0.0152900909428562,917.4054565713776,165132.98218284795,1981595.7861941757,5429.02955121692,9.774492489321789,chiari,48,19.112613678570366,113.10478231701916,3440.2704621426656,41283.245545711994,0.20363526019420394
ghedi,18823,0.0147494174046729,884.9650442803792,159293.70797046824,1911524.495645619,5237.053412727723,9.428856256162762,ghedi,92,9.619185263917165,56.92449361660569,1731.4533475050896,20777.440170061076,0.10248756800176916
lonato del garda,17181,0.0134627711007643,807.7662660458585,145397.92788825452,1744775.1346590542,4780.205848380971,8.606342205659693,lonato del garda,95,8.502802800482721,50.317956298747056,1530.5045040868897,18366.054049042676,0.09059307584904941
gussago,16817,0.0131775462197516,790.6527731851,142317.499173318,1707809.990079816,4678.931479670729,8.424006569616383,gussago,25,31.626110927404003,187.15725918682915,5692.699966932721,68312.39960319264,0.3369602627846553
concesio,15933,0.0124848572230066,749.0914333804006,134836.4580084721,1618037.4961016653,4432.979441374426,7.981191453511198,concesio,29,25.83073908208278,152.861360047394,4649.5330347749,55794.396417298805,0.2752134983969379
darfo boario terme,15890,0.0124511630749749,747.0697844984979,134472.56120972964,1613670.7345167557,4421.01571100481,7.959651804198392,darfo boario terme,48,15.563953843718707,92.10449397926688,2801.5116918693675,33618.14030243241,0.16582607925413317
ospitaletto,14965,0.0117263470998741,703.5808259924494,126644.54867864087,1519734.5841436908,4163.656394914221,7.496298882934481,ospitaletto,10,70.35808259924494,416.3656394914221,12664.454867864088,151973.4584143691,0.7496298882934481
leno,14599,0.0114395550491856,686.3733029511371,123547.19453120467,1482566.3343744562,4061.825573628647,7.312961402737085,leno,67,10.24437765598712,60.62426229296488,1843.9879780776816,22127.855736932182,0.10914867765279232
travagliato,13989,0.010961568298038,657.6940978822837,118384.93761881106,1420619.2514257329,3892.107538152693,7.007398935741428,travagliato,20,32.884704894114186,194.60537690763465,5919.246880940553,71030.96257128664,0.3503699467870714
rezzato,13576,0.010637947759966,638.2768655979614,114889.83580763306,1378678.0296915967,3777.20008134684,6.800518117923056,rezzato,39,16.366073476870806,96.85128413709846,2945.8932258367454,35350.71871004094,0.1743722594339245
manerbio,13551,0.0106183581390173,637.1014883410412,114678.2679013874,1376139.214816649,3770.2444241552025,6.787995065997003,manerbio,45,14.157810852023138,83.78320942567117,2548.4059533641644,30580.871440369978,0.1508443347999334
sarezzo,13358,0.0104671262652936,628.027575917617,113044.96366517106,1356539.5639820527,3716.546750635761,6.691317105127885,sarezzo,34,18.471399291694617,109.31019854811062,3324.851872505031,39898.22247006038,0.1968034442684672
carpenedolo,13185,0.0103315660883288,619.893965299729,111580.91375395122,1338970.9650474146,3668.413602869629,6.604657585799608,carpenedolo,32,19.37168641561653,114.6379250896759,3486.9035548109755,41842.84265773171,0.20639554955623776
calcinato,13090,0.0102571255287238,615.4275317234321,110776.95571021778,1329323.4685226134,3641.982105541407,6.557069988480612,calcinato,52,11.835144840835234,70.03811741425783,2130.326071350342,25563.912856204104,0.12609749977847332
