Comune,Popolazione,Superficie,Densità,Altitudine
Brescia,199949,90.58,2207.0,149
Desenzano del Garda,29275,59.19,495.0,67
Montichiari,26372,82.02,322.0,104
Lumezzane,21609,31.39,689.0,460
Palazzolo sull'Oglio,20390,23.31,875.0,166
Rovato,19627,26.53,740.0,192
Chiari,19535,37.79,517.0,148
Ghedi,18525,61.56,301.0,85
Lonato del Garda,17089,68.91,248.0,188
Gussago,16685,24.85,671.0,186
Darfo Boario Terme,15902,35.67,446.0,218
Concesio,15697,18.7,840.0,216
Ospitaletto,14915,9.75,1530.0,154
Leno,14437,58.84,245.0,66
Travagliato,13931,17.51,796.0,129
Manerbio,13562,27.62,491.0,64
Rezzato,13534,18.22,743.0,147
Sarezzo,13231,17.77,744.0,273
Calcinato,13048,33.43,390.0,171
Carpenedolo,12992,29.96,434.0,78
Mazzano,12720,15.74,808.0,156
Bagnolo Mella,12475,31.23,399.0,85
Orzinuovi,12451,47.44,262.0,88
Gavardo,12336,29.02,425.0,199
Bedizzole,12158,26.24,463.0,184
Castenedolo,11688,26.16,447.0,152
Gardone Val Trompia,11454,26.73,429.0,332
Castel Mella,10957,7.75,1415.0,106
Cazzago San Martino,10776,21.88,492.0,200
Botticino,10767,18.5,582.0,153
Villa Carcina,10745,14.38,747.0,249
Nave,10580,27.14,390.0,236
Salò,10327,26.89,384.0,75
Rodengo Saiano,9895,12.95,764.0,176
Capriolo,9387,10.8,869.0,216
Roncadelle,9310,9.29,1002.0,118
Borgosatollo,9092,8.49,1071.0,112
Iseo,8978,28.32,317.0,198
Coccaglio,8853,12.01,737.0,162
Erbusco,8835,15.96,554.0,236
Flero,8740,9.85,887.0,104
Calvisano,8441,44.71,189.0,67
Vobarno,8436,53.34,158.0,241
Castegnato,8375,9.4,891.0,143
Sirmione,8367,26.29,318.0,66
Verolanuova,8117,25.46,319.0,64
Pisogne,7889,49.03,161.0,187
Castrezzato,7821,13.28,589.0,125
Toscolano-Maderno,7642,58.14,131.0,86
