Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo,Comune_nome_match,n_esagoni,EV Stimati (2030 - Conservativo) per esagono,Domanda Giornaliera (kWh) - Conservativo per esagono,Domanda Mensile (kWh) - Conservativo per esagono,Domanda Annua (kWh) - Conservativo per esagono,Colonnine Necessarie - Conservativo per esagono
brescia,198222,0.1568692313231978,6274.769252927914,1129458.4655270246,13553501.586324297,37132.881058422725,66.85450200415204,brescia,130,48.267455791753186,285.63754660325174,8688.142042515574,104257.7045101869,0.5142654000319388
desenzano del garda,29343,0.0232215084840057,928.8603393602313,167194.86108484163,2006338.3330180997,5496.817350734519,9.89653848870374,desenzano del garda,75,12.384804524803084,73.2908980097936,2229.264814464555,26751.177773574662,0.13195384651604988
montichiari,26311,0.0208220396592944,832.8815863717768,149918.68554691982,1799024.2265630378,4928.83349743298,8.873933277997619,montichiari,107,7.783940059549316,46.06386446199047,1401.1092107188767,16813.310528626524,0.08293395586913663
lumezzane,21609,0.0171009636652994,684.0385466119769,123126.93839015585,1477523.2606818702,4048.0089333749866,7.28808575136827,lumezzane,52,13.15458743484571,77.84632564182667,2367.8257382722277,28413.908859266732,0.14015549521862058
palazzolo sull'oglio,20264,0.016036555496026,641.4622198410432,115463.19957138775,1385558.3948566532,3796.050396867543,6.8344564609989655,palazzolo sull'oglio,28,22.90936499432297,135.5732284595551,4123.6856989781345,49484.22838773761,0.24408773074996307
rovato,19472,0.0154097813175394,616.3912527015788,110950.42548628418,1331405.10583541,3647.685221466877,6.567337949495255,rovato,43,14.334680295385553,84.82988887132272,2580.2424531693996,30962.90943803279,0.15272878952314548
chiari,19321,0.0152902827052269,611.6113082090798,110090.03547763436,1321080.4257316124,3619.398426661952,6.516410051468664,chiari,48,12.741902254355828,75.40413388879067,2293.542405784049,27522.50886940859,0.13575854273893048
ghedi,18638,0.0147497691144361,589.9907645774457,106198.33762394024,1274380.0514872828,3491.452195855569,6.286054062381499,ghedi,92,6.412943093233105,37.950567346256186,1154.329756781959,13851.957081383509,0.06832667459110325
lonato del garda,17012,0.0134629827328462,538.5193093138485,96933.47567649272,1163201.7081179123,3186.853994843596,5.737651663764034,lonato del garda,95,5.668624308566826,33.54583152466943,1020.3523755420285,12244.22850650434,0.0603963333027793
gussago,16651,0.0131772939974501,527.0917598980068,94876.51678164124,1138518.2013796947,3119.227948985465,5.615896887687217,gussago,25,21.083670395920272,124.7691179594186,3795.06067126565,45540.72805518779,0.2246358755074887
concesio,15776,0.0124848351512686,499.39340605074494,89890.81308913408,1078689.7570696091,2955.314402930436,5.320784895811275,concesio,29,17.220462277611894,101.90739320449778,3099.683209970141,37196.19851964169,0.18347534123487155
darfo boario terme,15733,0.0124508057451134,498.0322298045367,89645.80136481661,1075749.6163777993,2947.259222952875,5.306282249353372,darfo boario terme,48,10.375671454261182,61.40123381151823,1867.6208617670127,22411.450341204152,0.11054754686152858
ospitaletto,14818,0.0117266916373921,469.0676654956858,84432.17978922345,1013186.1574706814,2775.8524862210447,4.9976794235631,ospitaletto,10,46.90676654956858,277.5852486221045,8443.217978922345,101318.61574706814,0.49976794235631
leno,14455,0.0114394201389191,457.57680555676455,82363.82500021762,988365.9000026116,2707.8517808290726,4.875250105790566,leno,67,6.829504560548725,40.41569822132944,1229.3108208987705,14751.729850785247,0.072764926952098
travagliato,13851,0.0109614256896692,438.4570275867691,78922.26496561844,947067.1795874212,2594.704601609373,4.671538513684202,travagliato,20,21.922851379338454,129.73523008046865,3946.1132482809217,47353.35897937106,0.2335769256842101
