Comune,Pop_tot,Quota Popolazione,EV Stimati (Attuali),Domanda Mensile (kWh) - Attuali,Domanda Annua (kWh) - Attuali,Domanda Giornaliera (kWh) - Attuali,Colonnine Necessarie - Attuali,Comune_nome_match,n_esagoni,EV Stimati (Attuali) per esagono,Domanda Giornaliera (kWh) - Attuali per esagono,Domanda Mensile (kWh) - Attuali per esagono,Domanda Annua (kWh) - Attuali per esagono,Colonnine Necessarie - Attuali per esagono
brescia,197236,0.156869419704993,1568.69419704993,282364.9554689874,3388379.465627849,9283.23141267904,16.713645572168268,brescia,130,12.066878438845615,71.40947240522338,2172.038118992211,26064.45742790653,0.12856650440129436
desenzano del garda,29197,0.0232215034127982,232.21503412798276,41798.70614303689,501584.4737164427,1374.2040375792951,2.47413408186435,desenzano del garda,75,3.0962004550397704,18.32272050105727,557.3160819071586,6687.792982885902,0.032988454424857996
montichiari,26180,0.0208219666180449,208.2196661804496,37479.53991248093,449754.4789497712,1232.2040519171817,2.218475537322625,montichiari,107,1.9459781886023326,11.515925718852165,350.2760739484199,4203.312887381039,0.020733416236660043
lumezzane,21501,0.0171005769386777,171.00576938677798,30781.03848962004,369372.4618754405,1011.9793476039464,1.821980234070808,lumezzane,52,3.288572488207269,19.46114130007589,591.9430478773085,7103.316574527702,0.035038081424438615
palazzolo sull'oglio,20163,0.0160364137860825,160.36413786082528,28865.54481494855,346386.5377793826,949.0042130941988,1.7085990167699037,palazzolo sull'oglio,28,5.727290637886617,33.8930076105071,1030.912314819591,12370.947777835094,0.06102139345606799
rovato,19375,0.0154096869069755,154.09686906975597,27737.436432556075,332849.2371906729,911.9157183306106,1.6418244284043486,rovato,43,3.5836481179013018,21.207342286758387,645.0566612222343,7740.679934666811,0.03818196345126392
chiari,19225,0.0152903861051151,152.9038610511514,27522.69498920725,330272.33987048705,904.8557256725672,1.6291135296037988,chiari,48,3.185497105232321,18.85116095151182,573.3894789418177,6880.673747301814,0.03393986520007914
ghedi,18545,0.0147495558033477,147.4955580334774,26549.20044602593,318590.4053523112,872.8504256227704,1.57149078837464,ghedi,92,1.6032125873204066,9.487504626334461,288.57826571767316,3462.9391886120784,0.017081421612767825
lonato del garda,16927,0.0134626978206129,134.6269782061295,24232.85607710331,290794.2729252397,796.6966381513417,1.434382559979376,lonato del garda,95,1.4171260863803106,8.386280401593071,255.08269554845592,3060.9923465814704,0.01509876378925659
gussago,16568,0.0131771712348269,131.77171234826926,23718.908222688468,284626.8986722616,779.7997223897579,1.4039611421833935,gussago,25,5.27086849393077,31.191988895590317,948.7563289075387,11385.075946890465,0.05615844568733574
concesio,15698,0.0124852265840362,124.8522658403628,22473.407851265303,269680.8942151836,738.8517649731058,1.3302379291402044,concesio,29,4.305250546219407,25.47764706803813,774.9450983194932,9299.341179833918,0.04587027341862774
darfo boario terme,15655,0.0124510270208362,124.51027020836284,22411.848637505307,268942.1836500637,736.8279004111334,1.3265941381507138,darfo boario terme,48,2.5939639626742257,15.35058125856528,466.91351328136057,5602.962159376327,0.02763737787813987
ospitaletto,14744,0.0117264734842037,117.26473484203778,21107.6522715668,253291.8272588016,693.9502116679496,1.249396612768708,ospitaletto,10,11.726473484203778,69.39502116679496,2110.76522715668,25329.18272588016,0.1249396612768708
leno,14383,0.0114393562210596,114.39356221059614,20590.841197907303,247090.09437488767,676.9591626709251,1.2188057163220516,leno,67,1.7073666001581513,10.103868099566046,307.3259880284672,3687.9118563416073,0.01819113009435898
travagliato,13782,0.0109613576749387,109.6135767493872,19730.44381488969,236765.32577867637,648.6721254210311,1.1678773817945154,travagliato,20,5.480678837469361,32.43360627105155,986.5221907444845,11838.266288933819,0.05839386908972577
rezzato,13375,0.0106376548325573,106.37654832557348,19147.778698603222,229773.3443832387,629.5160120088732,1.133388476382357,rezzato,39,2.7276038032198326,16.141436205355724,490.9686845795698,5891.624214954839,0.029061242984163
manerbio,13351,0.0106185667042596,106.18566704259676,19113.42006766741,229361.04081200896,628.3864131835862,1.1313547325742688,manerbio,45,2.3596814898354834,13.964142515190805,424.74266817038693,5096.912018044643,0.025141216279428193
sarezzo,13161,0.0104674523552364,104.6745235523643,18841.414239425576,226096.9708731069,619.4437558167313,1.1152542607602391,sarezzo,34,3.0786624574224795,18.218933994609742,554.1592423360463,6649.910908032556,0.03280159590471292
carpenedolo,12990,0.0103314494411155,103.3144944111551,18596.60899400792,223159.30792809505,611.3953641865617,1.1007638361276124,carpenedolo,32,3.2285779503485967,19.106105130830052,581.1440310627474,6973.72837275297,0.03439886987898789
calcinato,12897,0.010257482943962,102.57482943962026,18463.469299131648,221561.63158957977,607.0181687385747,1.0928830788712711,calcinato,52,1.9725928738388512,11.673426321895667,355.0667172909932,4260.8006074919185,0.02101698228598598
mazzano,12655,0.0100650109836271,100.65010983627158,18117.019770528885,217404.2372463466,595.6280472502647,1.072376162139718,mazzano,15,6.710007322418106,39.708536483350976,1207.8013180352589,14493.615816423107,0.07149174414264788
bagnolo mella,12487,0.0099313940855434,99.31394085543448,17876.509353978203,214518.11224773843,587.7208554732559,1.058139955483102,bagnolo mella,52,1.9098834779891247,11.30232414371646,343.7790260380424,4125.348312456508,0.02034884529775196
orzinuovi,12442,0.0098956038449853,98.9560384498531,17812.086920973557,213745.0430516827,585.602857675843,1.054326685842937,orzinuovi,68,1.4552358595566632,8.611806730527103,261.94245472019935,3143.309456642393,0.015504804203572602
gavardo,12288,0.0097731216884085,97.73121688408575,17591.619039135436,211099.42846962524,578.3545985469185,1.0412768297410395,gavardo,47,2.0793875932784203,12.305416990359967,374.28976679011566,4491.477201481388,0.02215482616470297
bedizzole,12245,0.0097389221252085,97.3892212520858,17530.059825375443,210360.7179045053,576.330733984946,1.0376330387515489,bedizzole,42,2.3187909821925192,13.722160332974905,417.3823767946534,5008.58852153584,0.024705548541703544
castenedolo,11596,0.0092227473224923,92.22747322492336,16600.945180486207,199211.3421658345,545.784499084478,0.9826372166078364,castenedolo,33,2.7947719159067685,16.538924214681153,503.0589448632184,6036.707338358621,0.02977688535175262
gardone val trompia,11384,0.0090541355225295,90.5413552252956,16297.443940553208,195569.3272866385,535.8063761277767,0.9646724796363928,gardone val trompia,20,4.52706776126478,26.790318806388836,814.8721970276604,9778.466364331925,0.04823362398181964
castel mella,10909,0.0086763496499714,86.76349649971448,15617.429369948606,187409.15243938327,513.4497327106391,0.9244213001013182,castel mella,12,7.230291374976207,42.78747772588659,1301.4524474957173,15617.429369948606,0.07703510834177651
botticino,10711,0.0085188725915156,85.18872591515645,15333.970664728162,184007.64797673796,504.1305424020217,0.9076429136845924,botticino,23,3.703857648485063,21.918719234870508,666.6943767273114,8000.332520727738,0.03946273537759097
cazzago san martino,10704,0.0085133052207621,85.13305220762157,15323.949397371884,183887.3927684626,503.8010760779797,0.9070497384072336,cazzago san martino,29,2.9356224899179852,17.37245089924068,528.4120481852374,6340.944578222849,0.03127757718645633
villa carcina,10633,0.0084568361745482,84.56836174548208,15222.305114186776,182667.6613702413,500.4593462198391,0.9010332463083064,villa carcina,12,7.0473634787901736,41.704945518319924,1268.5254261822313,15222.305114186775,0.07508610385902553
nave,10565,0.0084027531443714,84.02753144371468,15124.955659868643,181499.4679184237,497.25881621485945,0.8952709721853906,nave,39,2.1545520883003766,12.750226056791268,387.8193758940678,4653.832510728813,0.022955665953471555
salò,10441,0.0083041311481668,83.04131148166823,14947.436066700282,179369.23280040338,491.4225556175435,0.8847632958436027,salò,37,2.244359769774817,13.28169069236604,403.9847585594671,4847.817102713605,0.02391252150928656
rodengo saiano,9881,0.0078587414878877,78.58741487887787,14145.734678198016,169748.8161383762,465.0652496941813,0.8373092736548835,rodengo saiano,17,4.622789110522227,27.356779393775373,832.1020398940009,9985.22447872801,0.04925348668558138
capriolo,9415,0.0074881136634413,74.88113663441302,13478.604594194345,161743.25513033214,443.1322058365264,0.7978207480478422,capriolo,15,4.992075775627535,29.542147055768428,898.5736396129563,10782.883675355475,0.05318804986985615
roncadelle,9263,0.0073672221842227,73.67222184222707,13260.999931600873,159131.99917921046,435.9780799430424,0.7849403705966184,roncadelle,19,3.8774853601172143,22.94621473384434,697.9473648210985,8375.368377853181,0.041312651084032544
borgosatollo,9100,0.0072375819795343,72.37581979534345,13027.64756316182,156331.77075794182,428.3062212546352,0.7711278605666876,borgosatollo,6,12.062636632557242,71.38437020910587,2171.2745938603034,26055.295126323635,0.12852131009444792
iseo,8992,0.0071516854021948,71.51685402194818,12873.033723950672,154476.40468740807,423.2230265408441,0.761976013430292,iseo,31,2.3069952910305864,13.652355694865939,415.25915238550556,4983.109828626067,0.02457987140097716
coccaglio,8771,0.0069759155541204,69.75915554120411,12556.64799741674,150679.77596900088,412.82130402466,0.7432486225308151,coccaglio,11,6.341741412836737,37.52920945678727,1141.5134543106126,13698.161451727354,0.06756805659371047
erbusco,8771,0.0069759155541204,69.75915554120411,12556.64799741674,150679.77596900088,412.82130402466,0.7432486225308151,erbusco,18,3.875508641178006,22.934516890258887,697.5915554120411,8371.098664944493,0.04129159014060084
flero,8728,0.0069417159909204,69.41715990920413,12495.088783656744,149941.06540388093,410.79743946268746,0.7396048315413241,flero,16,4.338572494325258,25.674839966417967,780.9430489785465,9371.316587742558,0.046225301971332754
calvisano,8374,0.0066601660985297,66.60166098529737,11988.298977353526,143859.58772824233,394.135856789705,0.7096071103720267,calvisano,53,1.2566351129301392,7.436525599805754,226.19432032742503,2714.3318439291006,0.013388813403245787
castegnato,8340,0.0066331245834413,66.33124583441366,11939.62425019446,143275.49100233353,392.5355917872152,0.7067259733105687,castegnato,19,3.4911182018112457,20.659767988800798,628.4012763260242,7540.815315912291,0.037196103858450985
vobarno,8306,0.0066060830683529,66.06083068352997,11890.949523035397,142691.39427642475,390.93532678472536,0.7038448362491109,vobarno,72,0.9175115372712496,5.429657316454519,165.15207670882495,1981.8249205058992,0.009775622725682095
sirmione,8288,0.0065917669721297,65.91766972129741,11865.180549833534,142382.16659800243,390.08812766576006,0.7023195283930447,sirmione,35,1.883361992037069,11.145375076164573,339.00515856667243,4068.061902800069,0.020066272239801276
verolanuova,8056,0.0064072483985855,64.0724839858557,11533.047117454023,138396.5654094483,379.16867235465287,0.682660004914861,verolanuova,21,3.0510706659931284,18.05565106450728,549.192719878763,6590.312638545157,0.03250761928166005
pisogne,7860,0.0062513620174879,62.513620174879065,11252.451631478232,135029.4195777388,369.9436152814761,0.6660510971488093,pisogne,60,1.0418936695813177,6.165726921357935,187.5408605246372,2250.4903262956464,0.01110085161914682
cologne,7602,0.0060461646382879,60.46164638287922,10883.09634891826,130597.1561870191,357.80042790964137,0.6441883512118636,cologne,20,3.023082319143961,17.89002139548207,544.154817445913,6529.857809350955,0.03220941756059318
castrezzato,7593,0.0060390065901762,60.39006590176295,10870.21186231733,130442.54234780796,357.3768283501588,0.6434256972838307,castrezzato,19,3.1784245211454185,18.809306755271518,572.1164138061753,6865.396965674103,0.03386451038335951
toscolano-maderno,7582,0.0060302578647065,60.30257864706528,10854.464156471751,130253.569877661,356.8590955552356,0.6424935647051238,toscolano-maderno,81,0.7444762795933986,4.405667846360934,134.00573032681174,1608.0687639217406,0.007932019317347206
bovezzo,7308,0.0058123350666414,58.12335066641428,10462.203119954567,125546.43743945484,343.9628422998763,0.6192749895627861,bovezzo,7,8.303335809487754,49.13754889998233,1494.6004457077954,17935.20534849355,0.08846785565182659
corte franca,7173,0.005704964344967,57.04964344967018,10268.935820940633,123227.2298512876,337.6088489076372,0.6078351806422913,corte franca,20,2.852482172483509,16.88044244538186,513.4467910470316,6161.36149256438,0.030391759032114562
adro,7151,0.0056874668940274,56.87466894027484,10237.440409249471,122849.28491099364,336.57338331779084,0.6059709154848774,adro,19,2.9934036284355177,17.714388595673203,538.8126531183932,6465.7518374207175,0.03189320607815144
provaglio d'iseo,7139,0.0056779228298786,56.77922829878647,10220.261093781564,122643.13312537878,336.00858390514736,0.6049540435808334,provaglio d'iseo,23,2.4686620999472377,14.60906886544119,444.3591779905028,5332.310135886034,0.0263023497209058
